audit_id,rule_id,title,category,priority,impl_status,adapter_exists,adapter_function,implementation_module,execution_type,data_sources,external_dependency,current_capability,remaining_gap,manual_review_required,planned_workstream,owner,notes
61,field_vs_lab_data,Field Data 与 Lab Data 分离,技术性能,High,EXISTING_PARTIAL,TRUE,check_field_vs_lab,server.py:librecrawl_pagespeed,EXTERNAL_API,PageSpeed API,None,PSI 工具已同时返回 CrUX Field Data 和 Lighthouse Lab Data。但报告不区分两者，所有 PSI 数据在独立工具中，未整合进主审计报告。,PSI 工具已同时返回 CrUX Field Data 和 Lighthouse Lab Data。但报告不区分两者，所有 PSI 数据在独立工具中，未整合进主审计报告。,FALSE,PHASE_3_COMPLETE,,
62,third_party_script_impact,第三方脚本影响,技术性能,High,NEW_EXTERNAL_DATA,TRUE,check_third_party_scripts,,EXTERNAL_API,PageSpeed API,External/Manual,PageSpeed Insights 提供 Third-Party Code 诊断（字节数、主线程阻塞时间）。需要 PSI 数据的 thirdPartySummary 字段解析和报告聚合。,PageSpeed Insights 提供 Third-Party Code 诊断（字节数、主线程阻塞时间）。需要 PSI 数据的 thirdPartySummary 字段解析和报告聚合。,FALSE,EXTERNAL_DATA_PENDING,,
63,font_loading_cls,字体加载与布局偏移,技术性能,MEDIUM,NEW_EXTERNAL_DATA,TRUE,check_font_cls,,EXTERNAL_API,PageSpeed API,External/Manual,PSI/Lighthouse 提供 CLS 诊断（Layout Shift Regions、Web Font 加载）。部分可通过检测 font-display CSS、未设尺寸的 img/video 来补充。,PSI/Lighthouse 提供 CLS 诊断（Layout Shift Regions、Web Font 加载）。部分可通过检测 font-display CSS、未设尺寸的 img/video 来补充。,FALSE,EXTERNAL_DATA_PENDING,,
64,wp_cron_tasks,WP-Cron 与后台任务,WordPress 专项,Medium,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,WordPress Admin + Server Logs,Server Log,检查 wp-cron.php 调用频率和异常任务需要服务器日志和 WP-CLI 访问。无法从外部检测。,需要服务器和 WordPress 后台权限,TRUE,MANUAL_WORKFLOW,,
65,database_autoload_bloat,数据库与 Autoload 膨胀,WordPress 专项,Medium,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,WordPress Admin + Database,Semrush API,检查 wp_options autoload、transients、修订版本需要数据库访问。外部检测不可能。,需要数据库管理员权限,TRUE,MANUAL_WORKFLOW,,
66,cache_plugin_cdn_synergy,页面缓存/Object Cache/CDN 协同,WordPress 专项,High,EXISTING_PARTIAL,FALSE,,server.py,HTTP_FETCH,LibreCrawl,None,仅通过响应时间间接反映。缺少：Cache-Control max-age/s-maxage 解析、CDN HIT/MISS 状态（CF-Cache-Status/X-Cache/CDN-Loop）、缓存插件的 Donotcachepage 标记检测。,需要解析多级缓存响应头,FALSE,REMAINING_PARTIAL_REVIEW,,
67,staging_site_indexed,测试站/Staging 被索引,WordPress 专项,Critical,EXISTING_PARTIAL,TRUE,check_staging_indexability,checks/phase4a_rules.py,STATIC_ANALYSIS,LibreCrawl,None,已实现三层检测：(A)当前audit hostname匹配staging/dev模式（20+hostname pattern包括*.wpengine.com/*.kinsta.cloud等）；(B)crawl/link/canonical/hreflang数据中的staging URL发现；(C)用户配置STAGING_URLS。绝对不扫描DNS或暴力枚举子域。剩余gap：无法证明staging环,已实现三层检测：(A)当前audit hostname匹配staging/dev模式（20+hostname pattern包括*.wpengine.com/*.kinsta.cloud等）；(B)crawl/link/canonical/hreflang数据中的staging URL发现；(C)用户配置STAGING_URLS。绝对不扫描DNS或暴力枚举子域。剩余gap：无法证明staging环,FALSE,PHASE_4A_COMPLETE,,
68,admin_2fa,管理员账号与 2FA,WordPress 专项,High,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,WordPress Admin,WP Admin/DB,需要 WP 后台用户列表和 WAF 日志访问。外部分析可检测 wp-login.php 是否有 WAF/限速、用户名枚举漏洞（?author=1 重定向到 /author/admin/）。,需要管理员权限；部分检测可通过外部扫描,TRUE,MANUAL_WORKFLOW,,
69,abandoned_plugins_themes,废弃插件与主题,WordPress 专项,High,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,WordPress Admin,WP Admin/DB,需要 WP 后台或 WP-CLI 访问。外部可通过 readme.txt 文件、generator meta、CSS/JS 路径推断部分插件，但无法全面覆盖。,需要 WordPress 管理员权限,TRUE,MANUAL_WORKFLOW,,
70,form_link_accessibility,表单与链接可访问性,用户体验/Accessibility,Medium,EXISTING_PARTIAL,TRUE,check_form_accessibility,extended_checks.py,STATIC_ANALYSIS,LibreCrawl,None,已检查空锚文本、图片链接无 ALT、iframe 无 title。缺少：表单 label/aria-label、按钮可访问名称、键盘导航、viewport zoom 禁用、颜色对比度。,部分可访问性项需要 Lighthouse 或 axe-core 工具,FALSE,PHASE_2_COMPLETE,,
71,form_e2e_test,询盘表单端到端测试,转化与功能,Critical,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,Manual Testing,GSC API,需要在 PC/移动端真实提交每个主要表单并验证后端→邮箱→CRM→GA4 链路。自动化可检测表单 action URL 的有效性、必填字段标记、前端验证，但不能自动提交。,真实表单提交需要人工执行,TRUE,MANUAL_WORKFLOW,,
72,manual_actions_security,Manual Actions 与 Security Issues,监控与跟踪,Critical,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,GSC_UI,GSC Manual Actions (API may not expose),"当前标准 Search Console API 不提供 Manual Actions/Security Issues 自动读取接口。需要人工在 Google Search Console UI 中验证。自动化运行：execution_status = NOT_CHECKED，reason = ""Requires manual verification in Google Search Consol",GSC API 无对应端点；需人工登录 GSC 查看,TRUE,MANUAL_WORKFLOW,,
73,seo_change_log,SEO 修改日志,监控与跟踪,High,NEW_MANUAL,FALSE,,,MANUAL_REVIEW,Manual Process,GSC API,建立变更日志并关联 GSC 排名/流量趋势是流程/文档工作。可提供 GSC 排名变化数据作为输入，但日志本身需人工维护。,流程性工作，需要团队纪律,TRUE,MANUAL_WORKFLOW,,
74,regression_test,SEO 上线前后回归测试,监控与跟踪,High,EXISTING_PARTIAL,TRUE,check_regression_test,audit_rules/checks/snapshot_diff.py,STATIC_ANALYSIS + CRAWL_COMPARISON,LibreCrawl + SnapshotBaseline,None,已实现可移植版本化快照、O(n) URL 差异、crawl-diff.csv 与结构化 Rule 74 findings；有效基线零变化可真实 PASS。,首次审计或未显式提供有效基线时必须保持 NOT_CHECKED + UNKNOWN,FALSE,COMPLETE_PHASE_4B,,
75,device_country_ranking,设备/国家排名拆分,排名与竞争,High,NEW_EXTERNAL_DATA,FALSE,,,EXTERNAL_API,GSC + Semrush,Manual,需要 GSC 和 Semrush 按设备/国家拆分的排名数据。Semrush Position Tracking 可设置多国家多设备追踪。数据接入后可按维度生成排名趋势表。,需要 Semrush 订阅和 GSC 多属性设置,FALSE,EXTERNAL_DATA_PENDING,,
76,declining_page_keyword_map,下降页面与下降关键词一一映射,排名与竞争,High,NEW_EXTERNAL_DATA,FALSE,,,EXTERNAL_API,GSC API,Manual,需要 GSC 先筛选页面再看 Queries 对比 28 天变化。现有 GSC merge 工具生成 winners/losers/quick-wins CSV，但没有页面级关键词下降映射表。,数据分析逻辑可实现，但需要准确的时间段对比,FALSE,EXTERNAL_DATA_PENDING,,
77,lost_backlinks,重要页面 Lost Backlinks,链接分析,Medium,NEW_EXTERNAL_DATA,FALSE,,,EXTERNAL_API,Semrush API,WP Admin,需要 Semrush Backlink Analytics 的 Lost Backlinks 报告。按 URL 分析丢失的反向链接和引用域。,需要 Semrush 订阅和持续的链接监控,FALSE,EXTERNAL_DATA_PENDING,,
78,schema_visible_content_match,Schema 与可见内容一致,结构化数据,Medium,EXISTING_PARTIAL,TRUE,check_schema_vs_visible,schema_validator.py,STATIC_ANALYSIS,LibreCrawl,None,已验证 schema 结构正确性（required fields 存在、类型匹配）。缺少：schema 属性值与页面可见内容的实际对比（如 schema price vs 页面显示价格、schema rating value vs 可见评分）。,需要精确提取 schema 字段值并与 HTML 可见内容比对,FALSE,PHASE_2_COMPLETE,,
79,image_alt_link_semantics,图片尺寸/ALT/链接语义综合检查,媒体与富媒体,Medium,EXISTING_PARTIAL,TRUE,check_image_alt_quality,server.py + extended_checks.py,STATIC_ANALYSIS,LibreCrawl,None,已覆盖 6 项图片相关检查。缺少：ALT 文本质量分析（关键词堆砌 vs 描述性）、图片链接的语义检测（<a> 包裹的 <img> 是否有独立上下文）、图片在链接中的 role 属性。,ALT 质量评估需要部分 NLP 分析,FALSE,PHASE_2_COMPLETE,,
80,availability_5xx_monitoring,可用性与 5xx 监控,基础设施,High,NEW_EXTERNAL_DATA,FALSE,,,EXTERNAL_API,External Monitoring Tool,WP Admin,需要多地区持续 HTTP 监测（UptimeRobot/Cloudflare/自建）。可集成 UptimeRobot API 获取可用性报告，或在内置监测端点定期检查关键 URL 的 HTTP 状态。,需要外部监测服务；单次爬虫无法发现间歇性故障,FALSE,EXTERNAL_DATA_PENDING,,
