独立站 / WordPress 技术 SEO Master Audit Checklist（80项）,,,,,,,,,,,,,
适用于 WordPress 为主的独立站，也可用于普通企业站、多语言站、B2B 制造业站。已合并原40项+新增40项，并修正过时/易误用规则。,,,,,,,,,,,,,
,,,,,,,,,,,,,
id,category,check,description,priority,detection_method,tools,remediation,owner,status,acceptance_criteria,finding_type,seo_impact,notes
64,WordPress 专项,WP-Cron 与后台任务,检查 wp-cron.php 高频调用、备份/扫描/同步任务拖慢服务器。,Medium,服务器日志、WP Cron Events、慢请求分析。,"WP-CLI, Query Monitor, Server Logs",清理异常重复任务；必要时使用系统 Cron；降低高频扫描。,Dev/Infra,Open,不存在明显影响 TTFB 的异常 Cron 或重复任务。,Warning,Performance/Maintenance,插件多时重点检查。
65,WordPress 专项,数据库与 Autoload 膨胀,检查 wp_options autoload、transients、修订和废弃插件表导致数据库负担。,Medium,数据库大小、autoload 体积、Query Monitor 慢查询。,"WP-CLI, Query Monitor, Database Tools",备份后清理无效 autoload/transients 和废弃插件数据。,Dev/DBA,Open,无明显异常 autoload 和慢查询，数据库大小与业务规模匹配。,Warning,Performance/Maintenance,禁止无备份直接清库。
66,WordPress 专项,页面缓存/Object Cache/CDN 协同,检查 WordPress 缓存、Redis/Object Cache 与 Cloudflare/CDN 是否冲突。,High,匿名访问检查 HIT/MISS、Cache-Control、动态页面缓存。,"curl, Cloudflare, WP Cache Plugin, Query Monitor",明确缓存层级；动态页合理排除；避免多个插件重复做同一缓存。,Dev/Infra,Open,匿名核心页面稳定命中缓存，登录/表单/购物车等动态功能正常。,Error,Performance,缓存问题经常导致后台正常、用户端异常。
67,WordPress 专项,测试站/Staging 被索引,检查 staging、dev、临时域名、主机预览域是否可被搜索引擎索引。,Critical,site: 搜索、DNS/子域检查、GSC、Semrush。,"Google Search, GSC, Semrush",使用密码认证/访问控制；必要时 noindex；移除外部和站内链接。,Dev/SEO,Open,测试环境不可被公开搜索引擎索引。,Error,Indexing,复制站可能造成严重重复内容。
68,WordPress 专项,管理员账号与 2FA,检查管理员数量、弱用户名、2FA、登录限速与暴力破解保护。,High,WP 用户列表、安全日志、WAF 事件。,"WP Admin, WAF, Security Plugin",删除不用管理员；启用 2FA；限制 wp-login 暴力破解。,Dev/Security,Open,所有高权限账号使用 2FA，异常登录受限。,Error,Security,直接关系站点稳定性与业务连续性。
69,WordPress 专项,废弃插件与主题,检查未使用、停止维护、重复功能或长期不更新的插件/主题。,High,后台版本、更新历史、漏洞公告。,"WP Admin, WP-CLI",删除不用组件；替换停止维护插件；保留必要默认主题按策略。,Dev/Security,Open,生产环境仅保留必要且持续维护组件。,Error,Security/Maintenance,停用但保留的插件仍需更新或删除。
70,用户体验 / Accessibility,表单与链接可访问性,检查 label、按钮可访问名称、空链接、图片链接 ALT、键盘导航和 viewport。,Medium,Lighthouse Accessibility + 手工键盘/移动端测试。,"Lighthouse, Chrome DevTools, Screaming Frog",补充 label/aria-label、描述性链接文本；允许缩放；修复空链接。,Dev/UX,Open,关键询盘表单、菜单和 CTA 无严重可访问性问题。,Opportunity,UX/Conversion,也能改善页面质量和转化。
71,转化与功能,询盘表单端到端测试,真实测试前端提交、后端接口、邮件送达、CRM 入库和 GA4 事件。,Critical,PC/移动端逐个提交主要表单，记录各系统结果。,"GA4, GTM, 邮箱, CRM, Tag Assistant",修复验证、SMTP、接口、垃圾邮件过滤和事件重复/漏触发。,Dev/Marketing,Open,PC/移动提交成功；邮箱/CRM收到；GA4 事件只触发一次。,Error,Conversion,B2B独立站必须 P0。
72,监控与跟踪,Manual Actions 与 Security Issues,定期检查 GSC 人工处置与安全问题。,Critical,GSC Manual Actions / Security Issues。,Google Search Console,按 Google 要求清除问题并提交复审。,SEO/Security,Open,GSC 无 Manual Action 和 Security Issue。,Error,Ranking/Security,排名突然大跌时第一批检查项。
73,监控与跟踪,SEO 修改日志,记录 Title、内容、URL、redirect、canonical、hreflang、模板、Cloudflare、插件等重大变更。,High,将发布记录与 GSC 排名/流量趋势比对。,"Excel, Jira, Trello, GSC",建立 Change Log，记录 URL、日期、负责人、变更前后和回滚方案。,SEO/PM,Open,重大 SEO 变更可追溯到具体时间与页面。,Opportunity,Maintenance/Ranking,诊断排名下降非常重要。
74,监控与跟踪,SEO 上线前后回归测试,改版、主题/插件更新后复查状态码、robots、canonical、hreflang、TDK、Schema。,High,上线前后各抓取一次，做 Crawl Diff。,"Screaming Frog, GSC, Visual Diff",建立发布 Checklist；重大更新后立即复抓。,SEO/Dev,Open,上线未新增关键 Indexability、Redirect、Metadata 或 Schema 错误。,Error,Maintenance/Indexing,WordPress主题更新尤其重要。
75,排名与竞争,设备/国家排名拆分,避免只看全站平均排名，按国家、设备、页面和查询拆分。,High,GSC Country/Device/Page/Query 对比；Semrush Position Tracking。,"GSC, Semrush",建立 US/UK/DE 等核心市场和 Mobile/Desktop 基准。,SEO,Open,核心关键词可按国家、设备和 URL 持续追踪。,Opportunity,Ranking,平均排名下降经常是设备/国家结构变化造成。
76,排名与竞争,下降页面与下降关键词一一映射,对流量下降页面定位具体 Query，而非只看页面平均 Position。,High,GSC 先筛 Page 再看 Queries，比较 28 天/28 天；Semrush 交叉验证。,"GSC, Semrush",建立页面级 Query 变化表，优先处理高 Impression 且排名 4-20 下滑词。,SEO,Open,每个 P0/P1 下降页记录主要下降词、位置、点击、展示和 CTR 变化。,Error,Ranking,用于月度排名诊断。
77,链接分析,重要页面 Lost Backlinks,检测排名下降页面同期是否丢失高质量反向链接/引用域。,Medium,Semrush Lost Backlinks / Referring Domains 按 URL 分析。,"Semrush, GSC",恢复可恢复链接；通过内容资产和行业合作获取真实引用。,SEO/PR,Open,核心下降页面的外链变化原因已确认。,Warning,Ranking/Authority,不要因垃圾链接自然消失误判。
78,结构化数据,Schema 与可见内容一致,结构化数据中的产品、组织、FAQ、作者、评分等必须与用户可见内容一致。,Medium,Rich Results Test + 页面可见内容人工比对。,"Rich Results Test, Screaming Frog",删除隐藏/虚假/冲突字段；保持单一可信数据源。,SEO/Dev,Open,Schema 无严重错误，关键属性与页面可见内容一致。,Error,CTR/Trust,不要为了富结果堆叠不可见内容。
79,媒体与富媒体,图片尺寸/ALT/链接语义综合检查,除 ALT 缺失外，同时检查 ALT 质量、实际尺寸、width/height、lazy-load、图片链接语义。,Medium,Images 报告、Missing ALT、Large Images、链接图片抽查。,"Screaming Frog, PageSpeed Insights",内容图片写描述性 ALT；装饰图 alt='';压缩并设置 width/height/srcset。,Content/Dev,Open,核心图片无过大资源、布局偏移和无意义/关键词堆砌 ALT。,Warning,Performance/Accessibility,ALT 主要服务可访问性与图片理解。
80,基础设施,可用性与 5xx 监控,持续监控源站、DNS、CDN、SSL 与关键 URL 是否出现间歇性 5xx/超时。,High,多地区定时 HTTP 检测并结合日志。,"UptimeRobot, Cloudflare, Server Logs",配置告警、资源监控、自动备份与快速回滚。,Dev/Infra,Open,核心页面可用率达到业务目标，无持续 5xx 峰值或证书/DNS故障。,Error,Availability/Crawling,单次爬虫可能发现不了间歇性故障。
